"YEAR","GEAR","C1_RETAINED_ROUND_KG","C2_SUBLEGAL_BAIT_KG","C3_LEGAL_BAIT_KG","C4_RETAINED_OTHER_KG","C5_SUBLEGAL_RETAINED_KG","C_TOTAL_RETAINED_KG","R1_SUBLEGAL_RELEASED_KG","R2_LEGAL_RELEASED_KG","R2_LEGAL_RELEASED_MORT_KG","R3_SUBLEGAL_LICED_KG","R4_LEGAL_LICED_KG","R_TOTAL_RELEASED_KG"
2009,"TRAWL BOTTOM",218252.6,0,0,239,0,218491.6,73060,6962.3,1964,0,0,81986.3
2012,"TRAWL BOTTOM",152332.4,0,0,1388,0,153720.4,92479,23411.1,5209,0,0,121099.1
2015,"TRAWL BOTTOM",132119.1,0,0,1412,0,133531.1,154406.7,49995.7,12128,0,0,216530.4
2018,"TRAWL BOTTOM",76279,0,0,250,7501,91531,657272.4,54760.1,8710,0,0,720742.5
2009,"LONGLINE",1107094.7,0,1167,0,0,1108261.7,103359,13751.1,2439.9,3502.5,12876,135928.5
2012,"LONGLINE",1149968.4,0,1650,0,0,1151618.4,168969,9210.7,1634.3,4038,11322,195174
2015,"LONGLINE",1328604.7,9,1107,0,0,1329720.7,129039,4746.6,842.4,2323.5,9999,146950.5
2018,"LONGLINE",1156309.3,0,669,0,0,1156978.3,191253,3929.2,696.8,3981,14103,213963
2007,"TRAWL MIDWATER",123.5,0,0,6,0,129.5,31.8,7.3,0,0,0,39.1
2014,"TRAWL MIDWATER",2889.3,0,0,182,0,3071.3,1035.9,7594.7,1354,0,0,9984.6
2017,"TRAWL MIDWATER",-14955.6,0,0,3,15859,16765.4,47493.5,35.3,3,0,0,47531.8
2020,"TRAWL MIDWATER",-14980.1,0,0,0,23099,31217.9,1937.7,599,133,0,0,2669.7
2010,"TRAP",975745.7,0,0,0,0,975745.7,119283,860,85,3102,2055,125385
2013,"TRAP",841410.7,0,0,0,0,841410.7,181561.5,322.1,31.9,2880,1644,186439.5
2016,"TRAP",710625.8,0,0,0,0,710625.8,122530.5,2689.1,265.9,1263,3018,129766.5
2019,"TRAP",1260444.3,0,0,0,0,1260444.3,602817,54.6,5.4,32307,1443,636627
2008,"TRAWL UNSPECIFIED",12773.3,0,0,0,0,12773.3,1433.3,0,0,0,0,1433.3
2011,"TRAWL UNSPECIFIED",135,0,0,0,0,135,0,0,0,0,0,0
2014,"TRAWL UNSPECIFIED",2952.4,0,0,0,0,2952.4,193.8,27.2,2,0,0,223
2008,"TRAWL BOTTOM",338806.6,0,0,131,0,338937.6,59142.3,9347.8,1759,0,0,70249.1
2011,"TRAWL BOTTOM",174535.3,0,0,845,0,175380.3,124601,6615.7,1072,0,0,132288.7
2014,"TRAWL BOTTOM",126525.3,0,0,1250,0,127775.3,62819.4,48146.8,7527,0,0,118493.2
2021,"TRAWL BOTTOM",82.6,0,0,0,0,82.6,288.5,0,0,0,0,288.5
2006,"LONGLINE",1307331.5,0,0,0,0,1307331.5,181336.5,144592.1,25621.9,4920,10296,366766.5
2013,"LONGLINE",877330.1,0,135,0,0,877465.1,130344,5091.7,905.3,3168,7860,147369
2016,"LONGLINE",1053601.1,0,531,0,0,1054132.1,86139,6508.3,1153.7,2676,9255,105732
2019,"LONGLINE",1045606.4,0,1422,0,0,1047028.4,274698,4041.1,716.9,7413,20178,307047
2010,"TRAWL MIDWATER",2967.9,0,0,85,0,3052.9,245.1,78.4,5,0,0,328.5
2013,"TRAWL MIDWATER",1575.6,0,0,88,0,1663.6,394.6,533.2,64,0,0,991.8
2016,"TRAWL MIDWATER",280.7,0,0,8,0,288.7,292.7,80.9,33,0,0,406.6
2019,"TRAWL MIDWATER",-30167,0,0,9,49654,69150,21785.3,238.9,44,0,0,22068.2
2006,"TRAP",2773538.4,0,0,0,0,2773538.4,122568,6778.6,670.4,2515.5,15714,148246.5
2009,"TRAP",1174416.1,0,0,0,0,1174416.1,81958.5,909.2,89.8,880.5,3132,86970
2012,"TRAP",891606.9,0,0,0,0,891606.9,151738.5,2036.8,201.2,3648,3648,161272.5
2015,"TRAP",1110873.3,0,108,0,0,1110981.3,124552.5,12470.3,1233.7,4357.5,5475,148089
2007,"TRAWL UNSPECIFIED",5027.5,0,0,0,0,5027.5,559.5,53.1,3,0,0,615.6
2010,"TRAWL UNSPECIFIED",218.6,0,0,0,0,218.6,643.9,0,0,0,0,643.9
2017,"TRAWL UNSPECIFIED",263.7,0,0,0,42,347.7,0,0,0,0,0,0
2020,"TRAWL UNSPECIFIED",520.1,0,0,0,339,1198.1,0,0,0,0,0,0
2007,"TRAWL BOTTOM",244773.4,0,0,380,0,245153.4,70450.4,9515.7,5395,0,0,85361.1
2010,"TRAWL BOTTOM",205513.6,0,0,525,0,206038.6,158421.9,8867.5,6322,0,0,173611.4
2017,"TRAWL BOTTOM",79938.3,0,0,2083,3914,89849.3,442472.2,35187.5,9230,0,0,486889.7
2020,"TRAWL BOTTOM",47033.3,0,0,90,10898,68919.3,258816.3,17033.7,2765,0,0,278615
2007,"LONGLINE",971847.5,24,1314,0,0,973185.5,120451.5,23562.9,4184.1,4996.5,11445,164640
2010,"LONGLINE",1096288.2,0,432,0,0,1096720.2,128916,11153,1978,3939,8742,154728
2017,"LONGLINE",972639.6,0,330,0,0,972969.6,105895.5,13959.3,2471.7,2691,6879,131896.5
2020,"LONGLINE",911142,0,885,0,0,912027,177895.5,10600.1,1879.9,5077.5,15744,211197
2006,"TRAWL MIDWATER",293.1,0,0,0,0,293.1,9.1,0,0,0,0,9.1
2009,"TRAWL MIDWATER",1155.7,0,0,19,0,1174.7,463.7,10,9,0,0,482.7
2012,"TRAWL MIDWATER",1497.8,0,0,110,0,1607.8,433,10469.2,1391,0,0,12293.2
2015,"TRAWL MIDWATER",72,0,0,0,0,72,720.5,833.5,142,0,0,1696
2006,"STANDARD BOTTOM TRAWL",441478.9,0,0,29,0,441507.9,112931.5,12773.4,6095,0,0,131799.9
2008,"TRAP",1486951.7,0,18,0,0,1486969.7,141528,1618.6,160.4,3598.5,5775,152680.5
2011,"TRAP",803867.4,0,0,0,0,803867.4,126288,202,20,937.5,3228,130675.5
2018,"TRAP",877281.2,0,0,0,0,877281.2,267111,109.1,10.9,17758.5,5757,290746.5
2013,"TRAWL UNSPECIFIED",3530.6,0,0,0,0,3530.6,0,0,0,0,0,0
2016,"TRAWL UNSPECIFIED",174.4,0,0,0,0,174.4,0,0,0,0,0,0
2019,"TRAWL UNSPECIFIED",100.8,0,0,0,76,252.8,0,0,0,0,0,0
2013,"TRAWL BOTTOM",178870.5,0,0,3217,0,182087.5,83383.2,35050.9,6804,0,0,125238.1
2016,"TRAWL BOTTOM",108493.7,0,0,893,0,109386.7,205673.5,39193.6,9286,0,0,254153.1
2019,"TRAWL BOTTOM",33323.7,0,0,329,4724,43100.7,589021.6,43672.4,5354,0,0,638048
2008,"LONGLINE",1246227.7,24,972,0,0,1247223.7,102388.5,22206.1,3935.9,3967.5,11877,144375
2011,"LONGLINE",1082426.7,0,720,0,0,1083146.7,150061.5,9369.8,1661.2,4692,10650,176434.5
2014,"LONGLINE",984934.7,1.5,549,0,0,985485.2,75228,2837.3,504.7,2662.5,10587,91819.5
2021,"LONGLINE",0,0,0,0,0,0,9,0,0,0,0,9
2008,"TRAWL MIDWATER",1376.7,0,0,29,0,1405.7,8.1,18.8,0,0,0,26.9
2011,"TRAWL MIDWATER",1003.7,0,0,82,0,1085.7,670.1,555.6,80,0,0,1305.7
2018,"TRAWL MIDWATER",-77725.6,0,0,4,78117,78512.4,33265.8,277.2,30,0,0,33573
2007,"STANDARD BOTTOM TRAWL",38934.2,0,0,183,0,39117.2,24112,14847.2,1603,0,0,40562.2
2007,"TRAP",2139971.6,0,0,0,0,2139971.6,152938.5,7405.1,733.9,5080.5,7785,173943
2014,"TRAP",570627.9,0,0,0,0,570627.9,100998,5.5,0.5,3880.5,3069,107953.5
2017,"TRAP",689721.4,0,0,0,0,689721.4,142740,292.1,28.9,4122,7059,154242
2020,"TRAP",1265361.5,0,0,0,0,1265361.5,8485707,199.3,19.7,22870.5,1278,8510074.5
2009,"TRAWL UNSPECIFIED",3755.1,0,0,139,0,3894.1,1208.2,0,0,0,0,1208.2
2012,"TRAWL UNSPECIFIED",859.8,0,0,0,0,859.8,0,0,0,0,0,0
2015,"TRAWL UNSPECIFIED",598.7,0,0,0,0,598.7,0,0,0,0,0,0
2018,"TRAWL UNSPECIFIED",59,0,0,0,48,155,0,0,0,0,0,0
